,Sector,Category,year,value,CumSumEnergy
0,POWER,Nuclear,2015,7628.561970877593,7628.561970877593
1,POWER,Hydrogen Power,2015,0.0,7628.561970877593
2,POWER,Hydro Power,2015,11656.818509018112,19285.380479895706
3,POWER,Wind,2015,2512.3353055078924,21797.715785403598
4,POWER,PV,2015,739.1937237080786,22536.909509111676
5,POWER,Biomass Power,2015,1410.5448308467699,23947.454339958447
6,POWER,Geothermal Power,2015,241.18155117133034,24188.63589112978
7,POWER,Solar thermal power plants,2015,28.180317974027407,24216.816209103807
8,POWER,Ocean energy,2015,3.0278852291242213,24219.84409433293
9,POWER,Nuclear,2020,8851.746127484423,8851.746127484423
10,POWER,Hydrogen Power,2020,1.3335507416603254,8853.079678226082
11,POWER,Hydro Power,2020,13028.517974278766,21881.597652504846
12,POWER,Wind,2020,4681.308646712967,26562.906299217815
13,POWER,PV,2020,2941.176468703249,29504.082767921063
14,POWER,Biomass Power,2020,2494.740049961054,31998.822817882115
15,POWER,Geothermal Power,2020,342.81346452090776,32341.636282403022
16,POWER,Solar thermal power plants,2020,95.92472948533931,32437.56101188836
17,POWER,Ocean energy,2020,6.394981965689287,32443.955993854048
18,POWER,Nuclear,2025,6888.446690041118,6888.446690041118
19,POWER,Hydrogen Power,2025,103.00594957568067,6991.4526396167985
20,POWER,Hydro Power,2025,13697.353282924687,20688.805922541484
21,POWER,Wind,2025,13645.880783269859,34334.68670581134
22,POWER,PV,2025,11996.383733940478,46331.07043975182
23,POWER,Biomass Power,2025,5129.5439132038455,51460.614352955665
24,POWER,Geothermal Power,2025,958.3515077829677,52418.96586073863
25,POWER,Solar thermal power plants,2025,952.2260060478457,53371.191866786474
26,POWER,Ocean energy,2025,124.42996808210184,53495.62183486857
27,POWER,Nuclear,2030,4390.1277669980445,4390.1277669980445
28,POWER,Hydrogen Power,2030,781.2106997435498,5171.338466741594
29,POWER,Hydro Power,2030,13399.007725007783,18570.346191749377
30,POWER,Wind,2030,26256.640230050143,44826.98642179952
31,POWER,PV,2030,21814.2231719542,66641.20959375372
32,POWER,Biomass Power,2030,6973.015963279977,73614.2255570337
33,POWER,Geothermal Power,2030,2630.4555181560354,76244.68107518973
34,POWER,Solar thermal power plants,2030,5313.084450864602,81557.76552605433
35,POWER,Ocean energy,2030,487.0001510508702,82044.7656771052
36,POWER,Nuclear,2035,2233.9026493036363,2233.9026493036363
37,POWER,Hydrogen Power,2035,2018.320674731151,4252.223324034787
38,POWER,Hydro Power,2035,12757.07343181972,17009.296755854506
39,POWER,Wind,2035,36767.23006586525,53776.52682171976
40,POWER,PV,2035,30652.20633871231,84428.73316043206
41,POWER,Biomass Power,2035,7209.287167144519,91638.02032757658
42,POWER,Geothermal Power,2035,4217.606480457147,95855.62680803373
43,POWER,Solar thermal power plants,2035,10145.989743285892,106001.61655131963
44,POWER,Ocean energy,2035,1112.3922298682828,107114.00878118792
45,POWER,Nuclear,2040,439.89453253091847,439.89453253091847
46,POWER,Hydrogen Power,2040,4179.167435376383,4619.061967907302
47,POWER,Hydro Power,2040,11669.085651974325,16288.147619881627
48,POWER,Wind,2040,42766.62872116032,59054.77634104194
49,POWER,PV,2040,37867.66026522675,96922.43660626869
50,POWER,Biomass Power,2040,7096.481192453129,104018.91779872181
51,POWER,Geothermal Power,2040,5482.373135463442,109501.29093418525
52,POWER,Solar thermal power plants,2040,13814.914410414338,123316.20534459958
53,POWER,Ocean energy,2040,1705.2083273405617,125021.41367194014
54,POWER,Nuclear,2045,27.21993767287694,27.21993767287694
55,POWER,Hydrogen Power,2045,6009.270156180269,6036.4900938531455
56,POWER,Hydro Power,2045,11229.024876463884,17265.51497031703
57,POWER,Wind,2045,46483.09870771948,63748.613678036505
58,POWER,PV,2045,42309.84765842057,106058.46133645708
59,POWER,Biomass Power,2045,7218.773218641373,113277.23455509846
60,POWER,Geothermal Power,2045,6515.28651012933,119792.52106522779
61,POWER,Solar thermal power plants,2045,16495.46522094106,136287.98628616886
62,POWER,Ocean energy,2045,2265.8196353463622,138553.80592151522
63,POWER,Nuclear,2050,0.0,0.0
64,POWER,Hydrogen Power,2050,7189.227035741623,7189.227035741623
65,POWER,Hydro Power,2050,11467.298877534662,18656.525913276284
66,POWER,Wind,2050,49578.4486812795,68234.97459455578
67,POWER,PV,2050,45314.37775171777,113549.35234627355
68,POWER,Biomass Power,2050,7543.847842257269,121093.20018853081
69,POWER,Geothermal Power,2050,7640.750707700605,128733.95089623141
70,POWER,Solar thermal power plants,2050,18712.230692153913,147446.1815883853
71,POWER,Ocean energy,2050,2708.2684116146684,150154.44999999998
72,FFs,Coal & Lignite,2015,68209.80992836868,92429.65402270161
73,FFs,Gas,2015,77895.40591532012,170325.05993802173
74,FFs,Oil & Diesel,2015,125727.76006197826,296052.82
75,FFs,Coal & Lignite,2020,62487.09505488598,94931.05104874002
76,FFs,Gas,2020,84097.14437165028,179028.1954203903
77,FFs,Oil & Diesel,2020,125446.93427163828,304475.12969202857
78,FFs,Coal & Lignite,2025,38166.40857564834,91662.03041051692
79,FFs,Gas,2025,77979.48174440696,169641.51215492387
80,FFs,Oil & Diesel,2025,83290.07784507613,252931.59
81,FFs,Coal & Lignite,2030,15474.245236388519,97519.01091349372
82,FFs,Gas,2030,61457.04697820218,158976.0578916959
83,FFs,Oil & Diesel,2030,43197.141077440436,202173.19896913634
84,FFs,Coal & Lignite,2035,3267.6291585842882,110381.6379397722
85,FFs,Gas,2035,43269.713147196715,153651.3510869689
86,FFs,Oil & Diesel,2035,16427.122015716726,170078.47310268565
87,FFs,Coal & Lignite,2040,943.6866666666668,125965.1003386068
88,FFs,Gas,2040,23926.148881869914,149891.24922047672
89,FFs,Oil & Diesel,2040,5054.164976142214,154945.41419661892
90,FFs,Coal & Lignite,2045,337.03333333333313,138890.83925484854
91,FFs,Gas,2045,8379.760285715332,147270.59954056388
92,FFs,Oil & Diesel,2045,637.6833333333332,147908.2828738972
93,FFs,Coal & Lignite,2050,0.006666666666812186,150154.45666666664
94,FFs,Gas,2050,0.006666666666812186,150154.4633333333
95,FFs,Oil & Diesel,2050,0.006666666666812186,150154.46999999994
96,OTHER HEAT,Solar Heat,2015,1244.92,297297.74
97,OTHER HEAT,Biomass,2015,40502.149999999994,337799.89
98,OTHER HEAT,Geothermal,2015,362.72,338162.61
99,OTHER HEAT,H Process,2015,0.0,338162.61
100,OTHER HEAT,RE district heat,2015,563.11,338725.72
101,OTHER HEAT,Biofuels,2015,3163.27,341888.99
102,OTHER HEAT,Synfuels,2015,0.0,341888.99
103,OTHER HEAT,H Fuel,2015,0.0,341888.99
104,OTHER HEAT,Solar Heat,2020,2264.83,306739.9596920286
105,OTHER HEAT,Biomass,2020,41937.86,348677.81969202857
106,OTHER HEAT,Geothermal,2020,792.65,349470.4696920286
107,OTHER HEAT,H Process,2020,0.0,349470.4696920286
108,OTHER HEAT,RE district heat,2020,1488.3,350958.7696920286
109,OTHER HEAT,Biofuels,2020,4123.93,355082.6996920286
110,OTHER HEAT,Synfuels,2020,1.81,355084.5096920286
111,OTHER HEAT,H Fuel,2020,16.27,355100.7796920286
112,OTHER HEAT,Solar Heat,2025,7005.48,259937.07
113,OTHER HEAT,Biomass,2025,43378.87,303315.94
114,OTHER HEAT,Geothermal,2025,2730.3500000000004,306046.29
115,OTHER HEAT,H Process,2025,120.50999999999999,306166.8
116,OTHER HEAT,RE district heat,2025,4139.04,310305.83999999997
117,OTHER HEAT,Biofuels,2025,9329.42,319635.25999999995
118,OTHER HEAT,Synfuels,2025,5.0,319640.25999999995
119,OTHER HEAT,H Fuel,2025,826.87,320467.12999999995
120,OTHER HEAT,Solar Heat,2030,13171.54,215344.73896913635
121,OTHER HEAT,Biomass,2030,41205.55,256550.28896913637
122,OTHER HEAT,Geothermal,2030,5685.63,262235.9189691364
123,OTHER HEAT,H Process,2030,1535.16,263771.07896913635
124,OTHER HEAT,RE district heat,2030,6886.07,270657.14896913635
125,OTHER HEAT,Biofuels,2030,10054.75,280711.89896913635
126,OTHER HEAT,Synfuels,2030,403.94,281115.83896913636
127,OTHER HEAT,H Fuel,2030,3029.06,284144.89896913635
128,OTHER HEAT,Solar Heat,2035,17249.32,187327.79310268565
129,OTHER HEAT,Biomass,2035,36955.51,224283.30310268566
130,OTHER HEAT,Geothermal,2035,8410.380000000001,232693.68310268567
131,OTHER HEAT,H Process,2035,3732.0199999999995,236425.70310268566
132,OTHER HEAT,RE district heat,2035,9246.73,245672.43310268567
133,OTHER HEAT,Biofuels,2035,9781.53,255453.96310268567
134,OTHER HEAT,Synfuels,2035,2115.33,257569.29310268565
135,OTHER HEAT,H Fuel,2035,5130.19,262699.48310268566
136,OTHER HEAT,Solar Heat,2040,19886.94,174832.35419661892
137,OTHER HEAT,Biomass,2040,32215.86,207048.21419661894
138,OTHER HEAT,Geothermal,2040,10587.3,217635.51419661893
139,OTHER HEAT,H Process,2040,8157.5599999999995,225793.07419661892
140,OTHER HEAT,RE district heat,2040,10958.970000000001,236752.04419661892
141,OTHER HEAT,Biofuels,2040,9232.15,245984.19419661892
142,OTHER HEAT,Synfuels,2040,4550.84,250535.03419661892
143,OTHER HEAT,H Fuel,2040,6307.99,256843.0241966189
144,OTHER HEAT,Solar Heat,2045,21866.989999999998,169775.2728738972
145,OTHER HEAT,Biomass,2045,26179.870000000003,195955.1428738972
146,OTHER HEAT,Geothermal,2045,13011.62,208966.76287389718
147,OTHER HEAT,H Process,2045,12020.0,220986.76287389718
148,OTHER HEAT,RE district heat,2045,12133.2,233119.9628738972
149,OTHER HEAT,Biofuels,2045,8201.03,241320.9928738972
150,OTHER HEAT,Synfuels,2045,5628.75,246949.7428738972
151,OTHER HEAT,H Fuel,2045,6763.87,253713.6128738972
152,OTHER HEAT,Solar Heat,2050,23083.47,173237.93999999994
153,OTHER HEAT,Biomass,2050,20310.260000000002,193548.19999999995
154,OTHER HEAT,Geothermal,2050,15380.83,208929.02999999994
155,OTHER HEAT,H Process,2050,12258.23,221187.25999999995
156,OTHER HEAT,RE district heat,2050,13092.0,234279.25999999995
157,OTHER HEAT,Biofuels,2050,5693.11,239972.36999999994
158,OTHER HEAT,Synfuels,2050,6328.48,246300.84999999995
159,OTHER HEAT,H Fuel,2050,6849.08,253149.92999999993
