,Carrier Type,year,percentage
0,POWER,2015,0.22810780599734637
1,OTHER HEAT,2015,0.1702968045020667
2,POWER,2020,0.2916422824660799
3,OTHER HEAT,2020,0.18462604306448824
4,POWER,2025,0.5063658658607287
5,OTHER HEAT,2025,0.2956578719203792
6,POWER,2030,0.7280661370897495
7,OTHER HEAT,2030,0.4618484835969999
8,POWER,2035,0.8614308630064689
9,OTHER HEAT,2035,0.6571268898045272
10,POWER,2040,0.9408947015148892
11,OTHER HEAT,2040,0.8188787398583024
12,POWER,2045,0.9799552587186842
13,OTHER HEAT,2045,0.9417180647048765
14,POWER,2050,1.0
15,OTHER HEAT,2050,0.9999998058167211
